student_id,attendance_rate,quiz_average,assignment_rate,mobile_engagement,financial_aid,dropped_out
sdv-id-KCLUpQ,46.2,100.0,75.7,1,0,0
sdv-id-eoHrrK,100.0,44.4,94.7,0,0,0
sdv-id-xpDNyI,80.4,34.2,73.3,1,1,1
sdv-id-sbPjqx,100.0,84.5,75.1,1,0,0
sdv-id-TzlqJg,100.0,69.1,38.1,1,0,0
sdv-id-aaMXPX,93.1,64.5,30.6,2,1,0
sdv-id-WwHgvp,86.4,18.0,36.0,2,0,1
sdv-id-jRGSAk,100.0,85.2,54.9,0,0,1
sdv-id-VcJvDl,77.5,40.7,30.8,1,0,1
sdv-id-UMNlgz,100.0,20.3,78.4,1,1,1
sdv-id-kBoVjI,100.0,45.3,71.3,1,0,0
sdv-id-SxbuMV,43.1,73.7,35.0,0,0,1
sdv-id-ULEoQj,100.0,39.3,100.0,1,1,1
sdv-id-HAXFfa,90.4,100.0,91.0,0,0,0
sdv-id-TeggpS,95.1,100.0,30.6,1,1,1
sdv-id-KnUOXX,100.0,30.2,74.5,0,0,0
sdv-id-vebaZz,91.9,3.3,83.8,2,0,1
sdv-id-VTaDBq,100.0,61.5,100.0,1,1,0
sdv-id-zvLlAv,62.9,31.0,72.6,1,1,0
sdv-id-XZOgYf,100.0,38.0,56.2,1,0,1
sdv-id-zsckfr,51.7,63.9,44.7,0,0,1
sdv-id-IMvvHO,78.9,20.5,73.1,2,1,0
sdv-id-DeCOTN,100.0,80.1,49.8,1,1,0
sdv-id-XuLMdQ,82.5,8.0,84.7,0,0,0
sdv-id-RUrCJS,66.9,64.5,100.0,0,0,0
sdv-id-AGhUmt,100.0,38.2,86.1,2,0,1
sdv-id-GPkwHt,79.3,34.1,57.6,1,1,0
sdv-id-AJVNtZ,90.5,100.0,31.6,1,1,0
sdv-id-otnaBx,84.5,46.6,72.5,2,0,0
sdv-id-AgjLyt,90.2,59.2,84.7,1,0,0
sdv-id-hBDUkl,100.0,85.6,97.3,1,0,0
sdv-id-JGIdfp,85.6,59.7,30.6,0,0,0
sdv-id-QWPVNR,100.0,37.7,70.3,2,0,0
sdv-id-YtvFlJ,96.2,98.2,65.4,0,0,0
sdv-id-psNzMw,100.0,91.4,50.9,1,1,0
sdv-id-MhOAyJ,95.8,45.0,77.8,1,1,1
sdv-id-lWWDQI,100.0,96.8,85.7,0,1,0
sdv-id-kdCffL,96.0,67.1,51.4,0,0,0
sdv-id-BHQrpM,90.6,1.6,90.0,2,1,0
sdv-id-TZPoZR,90.7,23.8,50.1,1,0,1
sdv-id-vFqAlK,77.2,70.6,61.2,1,1,0
sdv-id-aaFatc,85.7,81.4,62.8,0,0,0
sdv-id-uuuhpZ,78.3,37.3,83.4,2,1,0
sdv-id-QrPakO,100.0,82.1,42.6,2,1,0
sdv-id-DNLdXy,84.1,93.0,55.3,1,0,0
sdv-id-feIquL,97.6,9.2,70.5,2,0,0
sdv-id-hPJMWQ,100.0,63.3,86.8,0,0,0
sdv-id-ymtyie,100.0,26.3,66.3,0,0,0
sdv-id-vKzJwn,100.0,37.8,98.5,1,0,0
sdv-id-NHBCGx,100.0,95.8,55.9,1,1,0
sdv-id-XDkOxA,67.2,57.1,38.4,0,0,0
sdv-id-rFbHMS,100.0,37.8,100.0,0,0,1
sdv-id-ZGJoOJ,100.0,43.8,69.0,1,0,0
sdv-id-TLUDia,80.2,46.6,30.6,1,0,0
sdv-id-yWsRJX,100.0,45.8,92.3,1,0,0
sdv-id-ItKnXl,72.5,64.1,62.9,1,1,1
sdv-id-gJYISj,74.9,92.9,77.7,2,0,0
sdv-id-kLUcGf,100.0,65.9,92.5,2,1,0
sdv-id-yGusYS,90.2,65.8,92.1,0,0,0
sdv-id-EwGpVH,69.7,81.0,74.9,1,1,0
sdv-id-yIMjBR,97.1,69.8,50.5,1,1,0
sdv-id-nOJuLC,85.1,60.2,98.0,0,0,0
sdv-id-WUVkgG,57.6,17.7,74.6,0,0,0
sdv-id-tYXVig,100.0,84.3,52.1,1,1,0
sdv-id-zhpzYf,95.4,100.0,83.6,0,1,0
sdv-id-PTGMWw,84.5,39.2,91.6,0,1,0
sdv-id-DzkdHp,100.0,63.8,74.6,2,0,1
sdv-id-jJmZeW,100.0,41.3,82.7,1,1,0
sdv-id-wRLgIf,99.1,16.2,55.5,1,0,0
sdv-id-BNGPRu,100.0,64.5,50.4,1,1,0
sdv-id-XdDWPf,98.9,10.9,82.4,0,0,1
sdv-id-ATpYaq,100.0,84.9,38.9,1,0,0
sdv-id-cdVYWl,71.9,39.5,71.2,1,0,0
sdv-id-HusCUM,90.0,17.3,73.3,1,0,1
sdv-id-AGWsBJ,91.1,58.9,100.0,0,1,1
sdv-id-BxVPzF,97.6,35.4,86.2,0,1,0
sdv-id-VXMoHf,78.9,53.3,30.6,0,0,1
sdv-id-UAFSSu,100.0,98.7,96.0,0,0,0
sdv-id-sMVKur,66.5,58.5,93.8,2,0,0
sdv-id-OLZYOw,100.0,41.4,70.0,0,0,0
sdv-id-ipWteL,62.3,58.7,72.2,0,1,0
sdv-id-MBJWlZ,62.9,32.8,75.7,2,0,1
sdv-id-fHwZiU,81.9,40.6,74.4,0,0,0
sdv-id-VWIzEu,70.7,65.9,51.5,0,1,0
sdv-id-qykDRa,90.1,50.1,69.6,0,1,0
sdv-id-HwYcSX,100.0,71.3,87.7,1,0,0
sdv-id-pLPwOt,100.0,43.4,100.0,0,0,1
sdv-id-ysTQkh,87.1,64.7,30.6,1,0,0
sdv-id-yweixg,100.0,100.0,54.9,1,0,0
sdv-id-wJTpJC,100.0,6.1,58.5,2,1,0
sdv-id-otnQwz,100.0,47.6,74.1,1,0,1
sdv-id-OqBlSh,98.9,41.1,92.9,0,1,0
sdv-id-kBiPEY,100.0,84.8,56.0,1,0,0
sdv-id-cVHsIA,74.5,7.6,31.6,0,0,0
sdv-id-rjotgo,100.0,68.1,97.3,0,1,0
sdv-id-XaEwRJ,100.0,42.2,61.5,1,0,0
sdv-id-SgBopm,100.0,68.8,75.8,1,0,0
sdv-id-yVZtSA,100.0,13.7,100.0,1,0,0
